#20201022
#1256,1417,758,386
#361,264,1179,54
#2004,316,1175,656
#2066,2747,312,670
#267,2752,300,60
#323,1500,728,61
#2033,1429,760,662
#1109,993,911,335
#391,1457,798,132
#1174,1939,673,375
#1700,844,1112,619

#20201023
#229,773,920,75
#185,3048,190,46
#2448,3264,198,677
#2138,115,1130,671
#1094,115,1124,346
#1094,2945,224,348
#218,1641,651,67
#2168,1519,693,660
#1112,1538,688,354
#373,309,1162,61
#2047,312,1176,671
#313,2895,254,82
#2077,2886,267,677
#1204,1569,712,371

#20201023b 2448x3264 ->1280x800 flat
285,174,1215,24
2366,72,1273,789
108,3246,142,16
2355,3183,170,768
1179,3167,169,372
150,1901,584,11
2410,1917,593,790
2395,1140,870,790
177,1140,851,5
1275,95,1254,387
1264,3251,143,401
1272,1650,678,397

#20201023b 2448x3264 ->1280x800 tower
894,1536,717,259
1846,1820,624,594
1372,1086,882,426
1280,2476,397,399
376,514,1082,56
2292,432,1131,752
494,3126,179,137
2270,3146,184,730

