//Web color for training and validation, https://en.wikipedia.org/wiki/Web_colors
//0: Epithelialising: 表皮形成中
//1: granulating: 促進肉芽組織
//2: sloughy: 腐肉
//3: nercrosis: 壞死
//Pink,
3,81,80,75
//3,114,125,119

3,105,105,105
//3,128,128,128
//3,139,69,19

//場域
0,151,125,122
0,187,165,165
0,220,186,136
0,224,190,140
0,161,141,141
0,167,133,124

3,98,130,122
